Date;Open;High;Low;Close;Adj Close;Volume;vol2
29/05/2019;49.520.000;49.849.998;49.150.002;49.700.001;48.417.038;17842500;17,8425
30/05/2019;49.709.999;50.130.001;49.439.999;50.009.998;48.719.032;12877800;12,8778
31/05/2019;49.509.998;51.000.000;48.709.999;49.000.000;47.735.104;28857900;28,8579
03/06/2019;49.349.998;49.599.998;48.439.999;48.830.002;47.569.496;22451600;22,4516
04/06/2019;49.180.000;49.349.998;48.299.999;49.110.001;47.842.266;19537300;19,5373
05/06/2019;49.279.999;49.430.000;47.860.001;48.389.999;47.140.850;14392200;14,3922
06/06/2019;48.889.999;48.939.999;48.310.001;48.799.999;47.540.268;10869100;10,8691
07/06/2019;49.049.999;49.099.998;48.360.001;48.660.000;47.403.881;11626500;11,6265
10/06/2019;48.950.001;49.230.000;48.330.002;48.340.000;47.092.144;11670100;11,6701
11/06/2019;49.759.998;51.480.000;49.660.000;51.430.000;50.102.379;44669000;44,669
12/06/2019;51.549.999;52.090.000;50.930.000;51.490.002;50.160.831;24531300;24,5313
13/06/2019;51.900.002;52.250.000;51.590.000;51.849.998;50.511.532;18058600;18,0586
14/06/2019;51.700.001;51.820.000;51.150.002;51.400.002;50.073.154;20375200;20,3752
17/06/2019;51.000.000;51.330.002;50.200.001;50.200.001;48.904.129;20551200;20,5512
18/06/2019;51.000.000;52.419.998;51.000.000;52.000.000;50.657.661;27229300;27,2293
19/06/2019;53.000.000;53.099.998;51.830.002;52.299.999;50.949.917;23746400;23,7464
21/06/2019;52.750.000;52.930.000;52.099.998;52.439.999;51.086.304;20492800;20,4928
24/06/2019;52.480.000;52.480.000;52.099.998;52.400.002;51.047.340;9338300;9,3383
25/06/2019;52.189.999;52.470.001;51.340.000;51.380.001;50.053.669;12449700;12,4497
26/06/2019;51.500.000;52.040.001;51.369.999;51.580.002;50.248.508;13277900;13,2779
27/06/2019;52.150.002;52.150.002;51.520.000;51.700.001;50.365.406;14941500;14,9415
28/06/2019;52.070.000;52.200.001;51.689.999;51.820.000;50.482.307;11106100;11,1061
