Date,open,High,Low,close,adj_close,volume
2019-09-03,25.110001,25.660000,25.030001,25.600000,25.600000,47.829600
2019-09-04,26.160000,26.370001,26.000000,26.260000,26.260000,56.179000
2019-09-05,26.600000,26.790001,26.340000,26.389999,26.389999,48.586800
2019-09-06,26.400000,26.860001,26.200001,26.520000,26.520000,48.502200
2019-09-09,26.750000,27.020000,26.700001,26.930000,26.930000,37.303000
2019-09-10,27.049999,27.350000,26.780001,27.100000,27.100000,44.109400
2019-09-11,27.350000,27.350000,26.830000,26.870001,26.870001,51.540400
2019-09-12,26.860001,27.139999,26.639999,27.059999,27.059999,41.028300
2019-09-13,27.120001,27.200001,26.820000,26.879999,26.879999,24.709400
2019-09-16,28.120001,28.240000,27.690001,28.059999,28.059999,16.7634600
2019-09-17,27.660000,27.750000,27.160000,27.690001,27.690001,67.414800
2019-09-18,27.370001,27.490000,27.219999,27.219999,27.219999,40.567100
2019-09-19,27.830000,27.850000,27.219999,27.290001,27.290001,42.155100
2019-09-20,27.350000,27.430000,27.000000,27.000000,27.000000,51.946900
2019-09-23,27.000000,27.490000,26.920000,27.480000,27.480000,32.643100
2019-09-24,27.420000,27.540001,27.150000,27.270000,27.270000,36.643400
2019-09-25,27.030001,27.350000,26.780001,27.340000,27.340000,29.038400
2019-09-26,27.400000,27.700001,27.230000,27.700001,27.700001,33.705900
2019-09-27,27.549999,27.950001,27.520000,27.660000,27.660000,31.886800
2019-09-30,27.559999,27.639999,27.400000,27.549999,27.549999,23.143400
2019-10-01,27.600000,27.730000,27.360001,27.510000,27.510000,32.423200
2019-10-02,27.219999,27.260000,26.610001,26.719999,26.719999,51.261200
2019-10-03,26.750000,26.809999,26.280001,26.740000,26.740000,46.076300
2019-10-04,26.850000,26.920000,26.270000,26.510000,26.510000,47.951600
2019-10-07,26.370001,26.600000,26.100000,26.170000,26.170000,26.252500
2019-10-08,26.170000,26.440001,25.950001,26.020000,26.020000,30.418900
2019-10-09,26.350000,26.709999,26.150000,26.520000,26.520000,35.141400
2019-10-10,26.590000,26.879999,26.540001,26.740000,26.740000,31.056500
2019-10-11,26.930000,27.360001,26.930000,27.260000,27.260000,37.055300
2019-10-14,27.040001,27.330000,26.940001,27.309999,27.309999,20.809900
2019-10-15,27.309999,27.879999,27.309999,27.600000,27.600000,30.455300
2019-10-16,27.549999,27.969999,27.360001,27.930000,27.930000,31.381300
2019-10-17,27.930000,28.000000,27.590000,27.660000,27.660000,31.405400
2019-10-18,27.889999,27.990000,27.600000,27.600000,27.600000,36.070900
2019-10-21,27.750000,27.809999,27.600000,27.770000,27.770000,43.157300
