Date,Open,High,Low,Close,Adj Close,Volume,Vol2
13/09/2019,35.50,36.41,35.50,35.86,35.23,25083000,25.08
16/09/2019,35.52,35.61,34.91,35.23,34.60,20161300,20.16
17/09/2019,34.90,35.45,34.86,35.36,34.73,12250100,12.25
18/09/2019,35.36,35.63,34.83,35.25,34.62,13316300,13.32
19/09/2019,35.54,35.83,34.52,34.66,34.04,17989000,17.99
20/09/2019,34.88,35.09,34.61,34.75,34.13,32900200,32.90
23/09/2019,34.70,34.72,34.20,34.63,34.02,13212100,13.21
24/09/2019,34.82,34.88,34.11,34.27,33.66,10497600,10.50
25/09/2019,34.18,34.91,34.04,34.68,34.06,14271700,14.27
26/09/2019,34.88,35.70,34.59,35.68,35.04,18669400,18.67
27/09/2019,35.59,35.63,34.97,35.52,34.89,16175900,16.18
30/09/2019,35.54,35.79,35.02,35.02,34.40,15985400,15.99
01/10/2019,35.22,35.31,34.20,34.22,33.62,17096300,17.10
02/10/2019,33.84,33.93,33.11,33.27,32.70,23731200,23.73
03/10/2019,33.24,33.59,32.84,33.29,32.71,21920200,21.92
04/10/2019,33.23,33.50,32.77,33.45,32.86,25181500,25.18
07/10/2019,33.29,33.63,32.77,32.83,32.25,15574100,15.57
08/10/2019,33.11,33.27,32.56,32.68,32.12,14886100,14.89
09/10/2019,32.99,33.43,32.63,33.20,32.63,12442900,12.44
10/10/2019,33.09,33.56,33.00,33.45,32.86,10893700,10.89
11/10/2019,33.59,34.27,33.59,33.88,33.29,19970500,19.97
14/10/2019,33.81,34.54,33.72,34.45,33.85,10268800,10.27
15/10/2019,34.48,34.63,34.18,34.36,33.77,15976800,15.98
16/10/2019,34.47,34.98,33.83,34.86,34.25,17662300,17.66
17/10/2019,34.84,35.13,34.32,34.65,34.04,17054300,17.05
18/10/2019,34.61,34.61,34.15,34.24,33.64,11418100,11.42
21/10/2019,34.25,34.86,33.99,34.79,34.19,16378000,16.38
22/10/2019,34.77,35.88,34.66,35.88,35.25,35538100,35.54
23/10/2019,35.59,36.75,35.50,36.38,35.75,34380200,34.38
24/10/2019,36.45,36.83,36.13,36.56,35.92,27250700,27.25
25/10/2019,36.54,37.13,36.34,36.79,36.15,18955500,18.96
28/10/2019,36.65,37.52,36.52,37.29,36.65,20976400,20.98
29/10/2019,37.09,37.23,36.57,36.63,36.00,16557800,16.56
30/10/2019,36.47,37.00,35.91,36.86,36.22,23575800,23.58
31/10/2019,36.29,36.66,35.68,36.23,35.59,26038300,26.04
01/11/2019,36.66,36.91,35.91,36.34,35.73,18958400,18.96
04/11/2019,36.45,36.75,36.24,36.47,35.85,10065400,10.07
05/11/2019,37.63,37.99,36.79,37.09,36.46,46982800,46.98
06/11/2019,37.09,37.36,36.57,36.59,35.97,19030900,19.03
07/11/2019,36.77,36.95,36.57,36.82,36.19,15689500,15.69
08/11/2019,36.36,36.77,36.02,36.27,35.65,15088000,15.09
11/11/2019,36.20,36.79,35.90,36.43,35.81,17480000,17.48
12/11/2019,36.02,36.29,35.43,35.81,35.20,19644000,19.64
13/11/2019,35.66,35.84,35.18,35.45,34.84,17688000,17.69
14/11/2019,35.50,35.79,35.16,35.68,35.07,14012300,14.01
18/11/2019,36.00,36.20,35.48,35.52,34.91,13345400,13.35
19/11/2019,35.50,35.59,34.84,35.13,34.53,17887600,17.89
21/11/2019,35.13,35.50,35.02,35.49,34.88,26063800,26.06
22/11/2019,35.25,35.83,35.20,35.73,35.12,16433000,16.43
25/11/2019,35.79,35.90,35.00,35.22,34.62,15202500,15.20
26/11/2019,35.00,35.09,34.34,34.50,33.91,26176400,26.18
27/11/2019,34.70,34.93,34.25,34.70,34.11,19366600,19.37
28/11/2019,34.45,34.70,34.02,34.59,34.01,15850200,15.85
29/11/2019,34.66,34.83,34.29,34.79,34.20,16530900,16.53
02/12/2019,34.91,35.52,34.84,35.27,34.69,16447900,16.45
03/12/2019,35.59,35.70,34.91,35.29,34.70,15999200,16.00
04/12/2019,35.38,36.57,35.29,36.56,35.95,34060300,34.06
05/12/2019,36.36,37.07,36.29,36.50,35.90,29077100,29.08
06/12/2019,36.50,36.68,35.84,35.84,35.25,28794200,28.79
09/12/2019,36.00,36.88,35.77,36.54,35.94,26700900,26.70
10/12/2019,36.54,36.77,35.77,36.02,35.42,21527300,21.53
11/12/2019,36.50,36.66,35.56,35.59,35.01,37043600,37.04
12/12/2019,35.95,36.09,35.34,35.59,35.00,23355500,23.36
13/12/2019,35.79,36.36,35.34,36.31,35.74,27255500,27.26
16/12/2019,36.43,36.63,35.48,35.48,34.92,21663700,21.66
17/12/2019,35.75,36.27,35.54,36.02,35.46,19250800,19.25
18/12/2019,35.91,36.75,35.73,36.48,35.91,40451900,40.45
19/12/2019,36.16,36.70,36.11,36.66,36.09,22053300,22.05
20/12/2019,36.63,36.70,36.29,36.50,35.93,24863500,24.86
23/12/2019,36.50,36.84,36.31,36.84,36.26,11691500,11.69
26/12/2019,36.79,37.40,36.65,37.40,36.81,16333100,16.33
27/12/2019,37.50,37.68,36.91,37.29,36.72,13455300,13.46
